node,ldst,xdst,east,nrth,elev
71,1750,-6,562045.853,6814120.235,145.649002075195
71,1750,-4,562043.853,6814120.239,145.585998535156
71,1750,-2,562041.853,6814120.243,145.634994506836
71,1750,0,562039.853,6814120.247,145.723999023438
71,1750,2,562037.853,6814120.251,146.22900390625
71,1750,4,562035.853,6814120.255,146.613006591797
71,1750,6,562033.853,6814120.259,146.949005126953
71,1750,8,562031.853,6814120.263,147.039993286133
71,1750,10,562029.853,6814120.267,147.106002807617
71,1750,12,562027.853,6814120.271,147.052993774414
71,1750,14,562025.853,6814120.275,147.042999267578
71,1750,16,562023.853,6814120.279,147.02099609375
71,1750,18,562021.853,6814120.283,147.076995849609
71,1750,20,562019.853,6814120.287,147.117004394531
71,1750,22,562017.853,6814120.291,147.110000610352
71,1750,24,562015.853,6814120.295,147.09700012207
71,1750,26,562013.853,6814120.299,147.065994262695
71,1750,28,562011.853,6814120.303,146.983001708984
71,1750,30,562009.853,6814120.307,147.055999755859
71,1750,32,562007.853,6814120.311,147.018005371094
71,1750,34,562005.853,6814120.315,147.042999267578
71,1750,36,562003.853,6814120.319,147.054000854492
71,1750,38,562001.853,6814120.323,147.067993164062
70,1725,-100,562132.199,6814128.61,147.462005615234
70,1725,-98,562130.311,6814127.948,147.423004150391
70,1725,-96,562128.423,6814127.286,147.399993896484
70,1725,-94,562126.535,6814126.624,147.341003417969
70,1725,-92,562124.647,6814125.962,147.248992919922
70,1725,-90,562122.759,6814125.3,147.266006469727
70,1725,-88,562120.871,6814124.638,147.283996582031
70,1725,-86,562118.983,6814123.976,147.238006591797
70,1725,-84,562117.095,6814123.314,147.233993530273
70,1725,-82,562115.207,6814122.652,147.251007080078
70,1725,-80,562113.319,6814121.99,147.220993041992
70,1725,-78,562111.431,6814121.328,147.145004272461
70,1725,-76,562109.543,6814120.666,147.102996826172
70,1725,-74,562107.655,6814120.004,147.069000244141
70,1725,-72,562105.767,6814119.342,147.070007324219
70,1725,-70,562103.879,6814118.68,147.001998901367
70,1725,-68,562101.991,6814118.018,147.009002685547
70,1725,-66,562100.103,6814117.356,147.046997070312
70,1725,-64,562098.215,6814116.694,147.011001586914
70,1725,-62,562096.327,6814116.032,147.057998657227
70,1725,-60,562094.439,6814115.37,146.990997314453
70,1725,-58,562092.551,6814114.708,146.968994140625
70,1725,-56,562090.663,6814114.046,146.899993896484
70,1725,-54,562088.775,6814113.384,147.035995483398
70,1725,-52,562086.887,6814112.722,147.014007568359
70,1725,-50,562084.999,6814112.06,146.955993652344
70,1725,-48,562083.111,6814111.398,146.88200378418
70,1725,-46,562081.223,6814110.736,146.817001342773
70,1725,-44,562079.335,6814110.074,146.860000610352
70,1725,-42,562077.447,6814109.412,146.815002441406
70,1725,-40,562075.559,6814108.75,146.776000976562
70,1725,-38,562073.671,6814108.088,146.811996459961
70,1725,-36,562071.783,6814107.426,146.822998046875
70,1725,-34,562069.895,6814106.764,146.893997192383
70,1725,-32,562068.007,6814106.102,146.811996459961
70,1725,-30,562066.119,6814105.44,146.845001220703
70,1725,-28,562064.231,6814104.778,146.82600402832
70,1725,-26,562062.343,6814104.116,146.761001586914
70,1725,-24,562060.455,6814103.454,146.789993286133
70,1725,-22,562058.567,6814102.792,146.708999633789
70,1725,-20,562056.679,6814102.13,146.671005249023
70,1725,-18,562054.791,6814101.468,146.630004882812
70,1725,-16,562052.903,6814100.806,146.481002807617
70,1725,-14,562051.015,6814100.144,146.470993041992
70,1725,-12,562049.127,6814099.482,146.313995361328
70,1725,-10,562047.239,6814098.82,146.358993530273
70,1725,-8,562045.351,6814098.158,146.25700378418
70,1725,-6,562043.463,6814097.496,146.22200012207
70,1725,-4,562041.575,6814096.834,146.169998168945
70,1725,-2,562039.687,6814096.172,146.035995483398
70,1725,0,562037.799,6814095.51,145.936004638672
70,1725,2,562035.911,6814094.848,145.794998168945
70,1725,4,562034.023,6814094.186,145.761993408203
70,1725,6,562032.135,6814093.524,145.735992431641
70,1725,8,562030.247,6814092.862,145.669006347656
70,1725,10,562028.359,6814092.2,145.824996948242
70,1725,12,562026.471,6814091.538,146.048004150391
70,1725,14,562024.583,6814090.876,146.195007324219
70,1725,16,562022.695,6814090.214,146.268005371094
70,1725,18,562020.807,6814089.552,146.429000854492
70,1725,20,562018.919,6814088.89,146.464004516602
70,1725,22,562017.031,6814088.228,146.453994750977
70,1725,24,562015.143,6814087.566,146.503005981445
70,1725,26,562013.255,6814086.904,146.565994262695
70,1725,28,562011.367,6814086.242,146.583999633789
70,1725,30,562009.479,6814085.58,146.611999511719
70,1725,32,562007.591,6814084.918,146.679000854492
70,1725,34,562005.703,6814084.256,146.716003417969
70,1725,36,562003.815,6814083.594,146.694000244141
70,1725,38,562001.927,6814082.932,146.763000488281
70,1725,40,562000.039,6814082.27,146.731002807617
69,1700,-100,562098.272,6814169.496,147.677993774414
69,1700,-98,562097.386,6814167.704,147.744995117188
69,1700,-96,562096.5,6814165.912,147.746994018555
69,1700,-94,562095.614,6814164.12,147.755996704102
69,1700,-92,562094.728,6814162.328,147.863998413086
69,1700,-90,562093.842,6814160.536,147.875
69,1700,-88,562092.956,6814158.744,147.845001220703
69,1700,-86,562092.07,6814156.952,147.888000488281
69,1700,-84,562091.184,6814155.16,147.804000854492
69,1700,-82,562090.298,6814153.368,147.809005737305
69,1700,-80,562089.412,6814151.576,147.72200012207
69,1700,-78,562088.526,6814149.784,147.680999755859
69,1700,-76,562087.64,6814147.992,147.695007324219
69,1700,-74,562086.754,6814146.2,147.610000610352
69,1700,-72,562085.868,6814144.408,147.557998657227
69,1700,-70,562084.982,6814142.616,147.384994506836
69,1700,-68,562084.096,6814140.824,147.373001098633
69,1700,-66,562083.21,6814139.032,147.264999389648
69,1700,-64,562082.324,6814137.24,147.220993041992
69,1700,-62,562081.438,6814135.448,147.095001220703
69,1700,-60,562080.552,6814133.656,146.949996948242
69,1700,-58,562079.666,6814131.864,146.802993774414
69,1700,-56,562078.78,6814130.072,146.852005004883
69,1700,-54,562077.894,6814128.28,146.819000244141
69,1700,-52,562077.008,6814126.488,146.738998413086
69,1700,-50,562076.122,6814124.696,146.705993652344
69,1700,-48,562075.236,6814122.904,146.697006225586
69,1700,-46,562074.35,6814121.112,146.716995239258
69,1700,-44,562073.464,6814119.32,146.641998291016
69,1700,-42,562072.578,6814117.528,146.669998168945
69,1700,-40,562071.692,6814115.736,146.667999267578
69,1700,-38,562070.806,6814113.944,146.744003295898
69,1700,-36,562069.92,6814112.152,146.766006469727
69,1700,-34,562069.034,6814110.36,146.828994750977
69,1700,-32,562068.148,6814108.568,146.858993530273
69,1700,-30,562067.262,6814106.776,146.805999755859
69,1700,-28,562066.376,6814104.984,146.863998413086
69,1700,-26,562065.49,6814103.192,146.891006469727
69,1700,-24,562064.604,6814101.4,146.837005615234
69,1700,-22,562063.718,6814099.608,146.755996704102
69,1700,-20,562062.832,6814097.816,146.718994140625
69,1700,-18,562061.946,6814096.024,146.710006713867
69,1700,-16,562061.06,6814094.232,146.63200378418
69,1700,-14,562060.174,6814092.44,146.606994628906
69,1700,-12,562059.288,6814090.648,146.522003173828
69,1700,-10,562058.402,6814088.856,146.466995239258
69,1700,-8,562057.516,6814087.064,146.423004150391
69,1700,-6,562056.63,6814085.272,146.401000976562
69,1700,-4,562055.744,6814083.48,146.106994628906
69,1700,-2,562054.858,6814081.688,146.098999023438
69,1700,0,562053.972,6814079.896,146.001998901367
69,1700,2,562053.086,6814078.104,145.957992553711
69,1700,4,562052.2,6814076.312,145.867004394531
69,1700,6,562051.314,6814074.52,145.708999633789
69,1700,8,562050.428,6814072.728,145.707992553711
69,1700,10,562049.542,6814070.936,145.983001708984
69,1700,12,562048.656,6814069.144,146.207000732422
69,1700,14,562047.77,6814067.352,146.475006103516
69,1700,16,562046.884,6814065.56,146.574005126953
69,1700,18,562045.998,6814063.768,146.634002685547
69,1700,20,562045.112,6814061.976,146.723999023438
69,1700,22,562044.226,6814060.184,146.800003051758
69,1700,24,562043.34,6814058.392,146.841003417969
69,1700,26,562042.454,6814056.6,147.024993896484
69,1700,28,562041.568,6814054.808,147.09700012207
69,1700,30,562040.682,6814053.016,147.085006713867
69,1700,32,562039.796,6814051.224,147.091995239258
69,1700,34,562038.91,6814049.432,147.169998168945
69,1700,36,562038.024,6814047.64,147.154006958008
69,1700,38,562037.138,6814045.848,147.192001342773
69,1700,40,562036.252,6814044.056,147.182006835938
69,1700,42,562035.366,6814042.264,147.17399597168
69,1700,44,562034.48,6814040.472,147.195007324219
69,1700,46,562033.594,6814038.68,147.244003295898
69,1700,48,562032.708,6814036.888,147.214004516602
69,1700,50,562031.822,6814035.096,147.244003295898
69,1700,52,562030.936,6814033.304,147.218002319336
69,1700,54,562030.05,6814031.512,147.195007324219
69,1700,56,562029.164,6814029.72,147.130004882812
69,1700,58,562028.278,6814027.928,147.139007568359
69,1700,60,562027.392,6814026.136,147.095993041992
69,1700,62,562026.506,6814024.344,147.029006958008
69,1700,64,562025.62,6814022.552,147.039993286133
69,1700,66,562024.734,6814020.76,147.072998046875
69,1700,68,562023.848,6814018.968,147.014999389648
69,1700,70,562022.962,6814017.176,147.014999389648
69,1700,72,562022.076,6814015.384,147.050994873047
69,1700,74,562021.19,6814013.592,147.072006225586
69,1700,76,562020.304,6814011.8,147.085998535156
69,1700,78,562019.418,6814010.008,147.106002807617
69,1700,80,562018.532,6814008.216,147.035003662109
69,1700,82,562017.646,6814006.424,146.998001098633
69,1700,84,562016.76,6814004.632,146.983001708984
69,1700,86,562015.874,6814002.84,146.970993041992
69,1700,88,562014.988,6814001.048,147.011993408203
68,1675,-100,562084.167,6814175.448,147.317001342773
68,1675,-98,562084.045,6814173.452,147.376998901367
68,1675,-96,562083.923,6814171.456,147.404006958008
68,1675,-94,562083.801,6814169.46,147.457000732422
68,1675,-92,562083.679,6814167.464,147.466995239258
68,1675,-90,562083.557,6814165.468,147.524993896484
68,1675,-88,562083.435,6814163.472,147.449005126953
68,1675,-86,562083.313,6814161.476,147.406997680664
68,1675,-84,562083.191,6814159.48,147.356002807617
68,1675,-82,562083.069,6814157.484,147.434997558594
68,1675,-80,562082.947,6814155.488,147.330993652344
68,1675,-78,562082.825,6814153.492,147.365005493164
68,1675,-76,562082.703,6814151.496,147.485992431641
68,1675,-74,562082.581,6814149.5,147.434997558594
68,1675,-72,562082.459,6814147.504,147.425994873047
68,1675,-70,562082.337,6814145.508,147.333999633789
68,1675,-68,562082.215,6814143.512,147.27799987793
68,1675,-66,562082.093,6814141.516,147.25
68,1675,-64,562081.971,6814139.52,147.057006835938
68,1675,-62,562081.849,6814137.524,147.171997070312
68,1675,-60,562081.727,6814135.528,147.095001220703
68,1675,-58,562081.605,6814133.532,147.011001586914
68,1675,-56,562081.483,6814131.536,146.837997436523
68,1675,-54,562081.361,6814129.54,146.936996459961
68,1675,-52,562081.239,6814127.544,146.871002197266
68,1675,-50,562081.117,6814125.548,146.835006713867
68,1675,-48,562080.995,6814123.552,146.779006958008
68,1675,-46,562080.873,6814121.556,146.800003051758
68,1675,-44,562080.751,6814119.56,146.781005859375
68,1675,-42,562080.629,6814117.564,146.764007568359
68,1675,-40,562080.507,6814115.568,146.764007568359
68,1675,-38,562080.385,6814113.572,146.884002685547
68,1675,-36,562080.263,6814111.576,146.899993896484
68,1675,-34,562080.141,6814109.58,146.817001342773
68,1675,-32,562080.019,6814107.584,146.805999755859
68,1675,-30,562079.897,6814105.588,146.869003295898
68,1675,-28,562079.775,6814103.592,146.906997680664
68,1675,-26,562079.653,6814101.596,146.837005615234
68,1675,-24,562079.531,6814099.6,146.785995483398
68,1675,-22,562079.409,6814097.604,146.792007446289
68,1675,-20,562079.287,6814095.608,146.832992553711
68,1675,-18,562079.165,6814093.612,146.820999145508
68,1675,-16,562079.043,6814091.616,146.774993896484
68,1675,-14,562078.921,6814089.62,146.654006958008
68,1675,-12,562078.799,6814087.624,146.589004516602
68,1675,-10,562078.677,6814085.628,146.537002563477
68,1675,-8,562078.555,6814083.632,146.485000610352
68,1675,-6,562078.433,6814081.636,146.358993530273
68,1675,-4,562078.311,6814079.64,146.212997436523
68,1675,-2,562078.189,6814077.644,146.166000366211
68,1675,0,562078.067,6814075.648,146.065994262695
68,1675,2,562077.945,6814073.652,145.985000610352
68,1675,4,562077.823,6814071.656,145.861999511719
68,1675,6,562077.701,6814069.66,145.667999267578
68,1675,8,562077.579,6814067.664,145.79899597168
68,1675,10,562077.457,6814065.668,146.287002563477
68,1675,12,562077.335,6814063.672,146.483001708984
68,1675,14,562077.213,6814061.676,146.569000244141
68,1675,16,562077.091,6814059.68,146.572006225586
68,1675,18,562076.969,6814057.684,146.438003540039
68,1675,20,562076.847,6814055.688,146.352005004883
68,1675,22,562076.725,6814053.692,146.317001342773
68,1675,24,562076.603,6814051.696,146.332992553711
68,1675,26,562076.481,6814049.7,146.393997192383
68,1675,28,562076.359,6814047.704,146.468994140625
68,1675,30,562076.237,6814045.708,146.554992675781
68,1675,32,562076.115,6814043.712,146.567001342773
68,1675,34,562075.993,6814041.716,146.733001708984
68,1675,36,562075.871,6814039.72,146.845001220703
68,1675,38,562075.749,6814037.724,146.957992553711
68,1675,40,562075.627,6814035.728,146.990005493164
68,1675,42,562075.505,6814033.732,147.037002563477
68,1675,44,562075.383,6814031.736,147.080001831055
68,1675,46,562075.261,6814029.74,147.171997070312
68,1675,48,562075.139,6814027.744,147.203002929688
68,1675,50,562075.017,6814025.748,147.328994750977
68,1675,52,562074.895,6814023.752,147.360992431641
68,1675,54,562074.773,6814021.756,147.434997558594
68,1675,56,562074.651,6814019.76,147.557006835938
68,1675,58,562074.529,6814017.764,147.64599609375
68,1675,60,562074.407,6814015.768,147.710998535156
68,1675,62,562074.285,6814013.772,147.768005371094
68,1675,64,562074.163,6814011.776,147.839996337891
68,1675,66,562074.041,6814009.78,147.958999633789
68,1675,68,562073.919,6814007.784,148.115005493164
68,1675,70,562073.797,6814005.788,148.147994995117
68,1675,72,562073.675,6814003.792,148.141006469727
68,1675,74,562073.553,6814001.796,148.214996337891
67,1650,-100,562081.333,6814174.612,147.149993896484
67,1650,-98,562081.759,6814172.658,147.162994384766
67,1650,-96,562082.185,6814170.704,147.380996704102
67,1650,-94,562082.611,6814168.75,147.492004394531
67,1650,-92,562083.037,6814166.796,147.529998779297
67,1650,-90,562083.463,6814164.842,147.552001953125
67,1650,-88,562083.889,6814162.888,147.455001831055
67,1650,-86,562084.315,6814160.934,147.451995849609
67,1650,-84,562084.741,6814158.98,147.47200012207
67,1650,-82,562085.167,6814157.026,147.617004394531
67,1650,-80,562085.593,6814155.072,147.619995117188
67,1650,-78,562086.019,6814153.118,147.604995727539
67,1650,-76,562086.445,6814151.164,147.595001220703
67,1650,-74,562086.871,6814149.21,147.602996826172
67,1650,-72,562087.297,6814147.256,147.695007324219
67,1650,-70,562087.723,6814145.302,147.585006713867
67,1650,-68,562088.149,6814143.348,147.669998168945
67,1650,-66,562088.575,6814141.394,147.548004150391
67,1650,-64,562089.001,6814139.44,147.598007202148
67,1650,-62,562089.427,6814137.486,147.535995483398
67,1650,-60,562089.853,6814135.532,147.429000854492
67,1650,-58,562090.279,6814133.578,147.386993408203
67,1650,-56,562090.705,6814131.624,147.294998168945
67,1650,-54,562091.131,6814129.67,147.194000244141
67,1650,-52,562091.557,6814127.716,147.106994628906
67,1650,-50,562091.983,6814125.762,146.951995849609
67,1650,-48,562092.409,6814123.808,146.934997558594
67,1650,-46,562092.835,6814121.854,146.947006225586
67,1650,-44,562093.261,6814119.9,146.973999023438
67,1650,-42,562093.687,6814117.946,146.929000854492
67,1650,-40,562094.113,6814115.992,146.990997314453
67,1650,-38,562094.539,6814114.038,146.947006225586
67,1650,-36,562094.965,6814112.084,146.986999511719
67,1650,-34,562095.391,6814110.13,147.050994873047
67,1650,-32,562095.817,6814108.176,147.024993896484
67,1650,-30,562096.243,6814106.222,146.947006225586
67,1650,-28,562096.669,6814104.268,146.910003662109
67,1650,-26,562097.095,6814102.314,147.054000854492
67,1650,-24,562097.521,6814100.36,147.042999267578
67,1650,-22,562097.947,6814098.406,147.00700378418
67,1650,-20,562098.373,6814096.452,147.035995483398
67,1650,-18,562098.799,6814094.498,147.035995483398
67,1650,-16,562099.225,6814092.544,147.014007568359
67,1650,-14,562099.651,6814090.59,146.908996582031
67,1650,-12,562100.077,6814088.636,146.763000488281
67,1650,-10,562100.503,6814086.682,146.595001220703
67,1650,-8,562100.929,6814084.728,146.438995361328
67,1650,-6,562101.355,6814082.774,146.307006835938
67,1650,-4,562101.781,6814080.82,146.220001220703
67,1650,-2,562102.207,6814078.866,146.102005004883
67,1650,0,562102.633,6814076.912,146.121994018555
67,1650,2,562103.059,6814074.958,146.046997070312
67,1650,4,562103.485,6814073.004,146.033996582031
67,1650,6,562103.911,6814071.05,145.917007446289
67,1650,8,562104.337,6814069.096,145.669006347656
67,1650,10,562104.763,6814067.142,145.824996948242
67,1650,12,562105.189,6814065.188,146.328994750977
67,1650,14,562105.615,6814063.234,146.488998413086
67,1650,16,562106.041,6814061.28,146.537994384766
67,1650,18,562106.467,6814059.326,146.628997802734
67,1650,20,562106.893,6814057.372,146.697006225586
67,1650,22,562107.319,6814055.418,146.718994140625
67,1650,24,562107.745,6814053.464,146.828002929688
67,1650,26,562108.171,6814051.51,146.72900390625
67,1650,28,562108.597,6814049.556,146.727996826172
67,1650,30,562109.023,6814047.602,146.694000244141
67,1650,32,562109.449,6814045.648,146.638000488281
67,1650,34,562109.875,6814043.694,146.578994750977
67,1650,36,562110.301,6814041.74,146.602005004883
67,1650,38,562110.727,6814039.786,146.522994995117
67,1650,40,562111.153,6814037.832,146.539001464844
67,1650,42,562111.579,6814035.878,146.580001831055
67,1650,44,562112.005,6814033.924,146.606002807617
67,1650,46,562112.431,6814031.97,146.714996337891
67,1650,48,562112.857,6814030.016,146.742004394531
67,1650,50,562113.283,6814028.062,146.785003662109
67,1650,52,562113.709,6814026.108,146.75700378418
67,1650,54,562114.135,6814024.154,146.74299621582
67,1650,56,562114.561,6814022.2,146.843002319336
67,1650,58,562114.987,6814020.246,146.936996459961
67,1650,60,562115.413,6814018.292,146.878005981445
67,1650,62,562115.839,6814016.338,146.901000976562
67,1650,64,562116.265,6814014.384,147
67,1650,66,562116.691,6814012.43,146.994995117188
